Dataset: Log-normal.txt
n: 5000000
epsilon: 0.05

=== Evaluación de RANK ===
Valor,Rank_Real,Rank_Estimado,Error_Absoluto,Error_Normalizado,Error_Esperado
214551,1,0,1,2e-07,250000
1723092,500000,417828,82172,0.0164344,250000
2146652,1000000,919876,80124,0.0160248,250000
2515030,1500000,1420001,79999,0.0159998,250000
2879344,2000000,1919992,80008,0.0160016,250000
3267905,2500004,2419873,80131,0.0160262,250000
3710043,3000000,2919999,80001,0.0160002,250000
4249014,3500000,3417829,82171,0.0164342,250000
4978695,4000000,3917835,82165,0.016433,250000
6204878,4500000,4420006,79994,0.0159988,250000
40567313,4999999,4981568,18431,0.0036862,250000
214551,1,0,1,2e-07,250000
40940294,5000000,4983616,16384,0.0032768,250000

Estadísticas RANK:
Error máximo absoluto: 82172
Error promedio absoluto: 58583.2
Error máximo normalizado: 0.0164344
Error promedio normalizado: 0.0117166
Error esperado (εn): 250000
Epsilon: 0.05

=== Evaluación de QUANTILE ===
Phi,Rank_Teorico,Quantile_Real,Quantile_Estimado,Rank_Estimado,Error_Rank_Abs,Error_Rank_Norm,Error_Esperado
0,0,214551,746653,7924,7924,0.0015848,250000
0.05,250000,1436712,1516794,311520,61520,0.012304,250000
0.1,500000,1723093,1782299,561638,61638,0.0123276,250000
0.15,750000,1947811,1998007,811126,61126,0.0122252,250000
0.2,1000000,2146653,2196285,1065403,65403,0.0130806,250000
0.25,1250000,2334020,2380024,1313371,63371,0.0126742,250000
0.3,1500000,2515032,2560008,1562568,62568,0.0125136,250000
0.35,1750000,2695750,2740745,1812012,62012,0.0124024,250000
0.4,1999999,2879344,2928587,2065982,65983,0.0131966,250000
0.45,2250000,3069264,3118766,2313650,63650,0.01273,250000
0.5,2499999,3267905,3324135,2568045,68046,0.0136092,250000
0.55,2749999,3479676,3539062,2816522,66523,0.0133046,250000
0.6,3000000,3710046,3772306,3064112,64112,0.0128224,250000
0.65,3250000,3963236,4032827,3313687,63687,0.0127374,250000
0.7,3500000,4249016,4336230,3570059,70059,0.0140118,250000
0.75,3750000,4579357,4675094,3815181,65181,0.0130362,250000
0.8,4000000,4978696,5107739,4069855,69855,0.013971,250000
0.85,4250000,5488859,5636815,4310122,60122,0.0120244,250000
0.9,4500000,6204900,6440394,4562353,62353,0.0124706,250000
0.95,4750000,7442574,7906005,4806429,56429,0.0112858,250000

Estadísticas QUANTILE:
Error máximo absoluto (en rank): 70059
Error promedio absoluto (en rank): 61078.1
Error máximo normalizado: 0.0140118
Error promedio normalizado: 0.0122156
Error esperado (εn): 250000
Epsilon: 0.05
