Dataset: Log-normal.txt
n: 5000000
epsilon: 0.1

=== Evaluación de RANK ===
Valor,Rank_Real,Rank_Estimado,Error_Absoluto,Error_Normalizado,Error_Esperado
214551,1,0,1,2e-07,500000
1723092,500000,368462,131538,0.0263076,500000
2146652,1000000,845643,154357,0.0308714,500000
2515030,1500000,1335975,164025,0.032805,500000
2879344,2000000,1845652,154348,0.0308696,500000
3267905,2500004,2368497,131507,0.0263014,500000
3710043,3000000,2845641,154359,0.0308718,500000
4249014,3500000,3368495,131505,0.026301,500000
4978695,4000000,3845401,154599,0.0309198,500000
6204878,4500000,4368882,131118,0.0262236,500000
40567313,4999999,4965184,34815,0.006963,500000
214551,1,0,1,2e-07,500000
40940294,5000000,4967232,32768,0.0065536,500000

Estadísticas RANK:
Error máximo absoluto: 164025
Error promedio absoluto: 105765
Error máximo normalizado: 0.032805
Error promedio normalizado: 0.0211529
Error esperado (εn): 500000
Epsilon: 0.1

=== Evaluación de QUANTILE ===
Phi,Rank_Teorico,Quantile_Real,Quantile_Estimado,Rank_Estimado,Error_Rank_Abs,Error_Rank_Norm,Error_Esperado
0,0,214551,795039,11733,11733,0.0023466,500000
0.05,250000,1436712,1582069,366730,116730,0.023346,500000
0.1,500000,1723093,1848781,634699,134699,0.0269398,500000
0.15,750000,1947811,2067784,898419,148419,0.0296838,500000
0.2,1000000,2146653,2245590,1131032,131032,0.0262064,500000
0.25,1250000,2334020,2432200,1385399,135399,0.0270798,500000
0.3,1500000,2515032,2630159,1659742,159742,0.0319484,500000
0.35,1750000,2695750,2810887,1907007,157007,0.0314014,500000
0.4,1999999,2879344,2970993,2122439,122440,0.024488,500000
0.45,2250000,3069264,3174065,2383607,133607,0.0267214,500000
0.5,2499999,3267905,3397076,2654542,154543,0.0309086,500000
0.55,2749999,3479676,3619660,2904569,154570,0.030914,500000
0.6,3000000,3710046,3824698,3116646,116646,0.0233292,500000
0.65,3250000,3963236,4110519,3382614,132614,0.0265228,500000
0.7,3500000,4249016,4437062,3647507,147507,0.0295014,500000
0.75,3750000,4579357,4801778,3895653,145653,0.0291306,500000
0.8,4000000,4978696,5197572,4115904,115904,0.0231808,500000
0.85,4250000,5488859,5819938,4378315,128315,0.025663,500000
0.9,4500000,6204900,6756056,4633551,133551,0.0267102,500000
0.95,4750000,7442574,8750239,4877521,127521,0.0255042,500000

Estadísticas QUANTILE:
Error máximo absoluto (en rank): 159742
Error promedio absoluto (en rank): 130382
Error máximo normalizado: 0.0319484
Error promedio normalizado: 0.0260763
Error esperado (εn): 500000
Epsilon: 0.1
