Dataset: Uniform.txt
n: 5000000
epsilon: 0.05

=== Evaluación de RANK ===
Valor,Rank_Real,Rank_Estimado,Error_Absoluto,Error_Normalizado,Error_Esperado
1,2,0,2,4e-07,250000
100036,500003,427166,72837,0.0145674,250000
199955,1000001,917959,82042,0.0164084,250000
300095,1500000,1417964,82036,0.0164072,250000
400065,2000002,1918091,81911,0.0163822,250000
499897,2500001,2417965,82036,0.0164072,250000
600057,3000000,2918094,81906,0.0163812,250000
699934,3500001,3420010,79991,0.0159982,250000
799788,4000002,3920008,79994,0.0159988,250000
900039,4500001,4420001,80000,0.016,250000
1000000,5000000,4975424,24576,0.0049152,250000
1,2,0,2,4e-07,250000
1000000,5000000,4975424,24576,0.0049152,250000

Estadísticas RANK:
Error máximo absoluto: 82042
Error promedio absoluto: 59377.6
Error máximo normalizado: 0.0164084
Error promedio normalizado: 0.0118755
Error esperado (εn): 250000
Epsilon: 0.05

=== Evaluación de QUANTILE ===
Phi,Rank_Teorico,Quantile_Real,Quantile_Estimado,Rank_Estimado,Error_Rank_Abs,Error_Rank_Norm,Error_Esperado
0,0,1,724,3664,3664,0.0007328,250000
0.05,250000,50055,61069,305119,55119,0.0110238,250000
0.1,500000,100036,111796,559033,59033,0.0118066,250000
0.15,750000,150104,163383,815972,65972,0.0131944,250000
0.2,1000000,199955,212477,1062068,62068,0.0124136,250000
0.25,1250000,250148,263721,1318065,68065,0.013613,250000
0.3,1500000,300096,313109,1565047,65047,0.0130094,250000
0.35,1750000,349979,362844,1814327,64327,0.0128654,250000
0.4,1999999,400065,413737,2068422,68423,0.0136846,250000
0.45,2250000,449993,462632,2313332,63332,0.0126664,250000
0.5,2499999,499897,514017,2570718,70719,0.0141438,250000
0.55,2749999,549946,564088,2820890,70891,0.0141782,250000
0.6,3000000,600058,614232,3071252,71252,0.0142504,250000
0.65,3250000,649907,664499,3322928,72928,0.0145856,250000
0.7,3500000,699934,713086,3565940,65940,0.013188,250000
0.75,3750000,749904,763914,3820137,70137,0.0140274,250000
0.8,4000000,799788,813334,4067407,67407,0.0134814,250000
0.85,4250000,850046,862904,4314658,64658,0.0129316,250000
0.9,4500000,900039,913040,4565096,65096,0.0130192,250000
0.95,4750000,949975,961061,4805405,55405,0.011081,250000

Estadísticas QUANTILE:
Error máximo absoluto (en rank): 72928
Error promedio absoluto (en rank): 62474.2
Error máximo normalizado: 0.0145856
Error promedio normalizado: 0.0124948
Error esperado (εn): 250000
Epsilon: 0.05
