Dataset: Uniform.txt
n: 5000000
epsilon: 0.1

=== Evaluación de RANK ===
Valor,Rank_Real,Rank_Estimado,Error_Absoluto,Error_Normalizado,Error_Esperado
1,2,0,2,4e-07,500000
100036,500003,368846,131157,0.0262314,500000
199955,1000001,845772,154229,0.0308458,500000
300095,1500000,1369884,130116,0.0260232,500000
400065,2000002,1845774,154228,0.0308456,500000
499897,2500001,2368883,131118,0.0262236,500000
600057,3000000,2845009,154991,0.0309982,500000
699934,3500001,3368862,131139,0.0262278,500000
799788,4000002,3843594,156408,0.0312816,500000
900039,4500001,4368857,131144,0.0262288,500000
1000000,5000000,4950848,49152,0.0098304,500000
1,2,0,2,4e-07,500000
1000000,5000000,4950848,49152,0.0098304,500000

Estadísticas RANK:
Error máximo absoluto: 156408
Error promedio absoluto: 105603
Error máximo normalizado: 0.0312816
Error promedio normalizado: 0.0211206
Error esperado (εn): 500000
Epsilon: 0.1

=== Evaluación de QUANTILE ===
Phi,Rank_Teorico,Quantile_Real,Quantile_Estimado,Rank_Estimado,Error_Rank_Abs,Error_Rank_Norm,Error_Esperado
0,0,1,2332,11588,11588,0.0023176,500000
0.05,250000,50055,73668,367972,117972,0.0235944,500000
0.1,500000,100036,127228,635896,135896,0.0271792,500000
0.15,750000,150104,179719,897905,147905,0.029581,500000
0.2,1000000,199955,224293,1120986,120986,0.0241972,500000
0.25,1250000,250148,277576,1387267,137267,0.0274534,500000
0.3,1500000,300096,329540,1647641,147641,0.0295282,500000
0.35,1750000,349979,382122,1910620,160620,0.032124,500000
0.4,1999999,400065,424504,2122446,122447,0.0244894,500000
0.45,2250000,449993,477738,2388920,138920,0.027784,500000
0.5,2499999,499897,529828,2649559,149560,0.029912,500000
0.55,2749999,549946,581411,2907417,157418,0.0314836,500000
0.6,3000000,600058,623103,3115813,115813,0.0231626,500000
0.65,3250000,649907,677721,3389223,139223,0.0278446,500000
0.7,3500000,699934,729973,3650447,150447,0.0300894,500000
0.75,3750000,749904,781507,3908318,158318,0.0316636,500000
0.8,4000000,799788,824076,4120713,120713,0.0241426,500000
0.85,4250000,850046,875322,4376563,126563,0.0253126,500000
0.9,4500000,900039,926356,4632043,132043,0.0264086,500000
0.95,4750000,949975,974816,4873918,123918,0.0247836,500000

Estadísticas QUANTILE:
Error máximo absoluto (en rank): 160620
Error promedio absoluto (en rank): 130763
Error máximo normalizado: 0.032124
Error promedio normalizado: 0.0261526
Error esperado (εn): 500000
Epsilon: 0.1
