Dataset: chicago2015.txt
n: 15808577
epsilon: 0.05

=== Evaluación de RANK ===
Valor,Rank_Real,Rank_Estimado,Error_Absoluto,Error_Normalizado,Error_Esperado
42,22,0,22,1.39165e-06,790429
48,1590936,1268421,322515,0.0204013,790429
56,4989891,1677139,3312752,0.209554,790429
56,4989891,1677139,3312752,0.209554,790429
164,6326074,6026150,299924,0.0189722,790429
1004,7905796,7603875,301921,0.0190986,790429
1454,13000076,8386038,4614038,0.291869,790429
1454,13000076,8386038,4614038,0.291869,790429
1454,13000076,8386038,4614038,0.291869,790429
1504,15808577,12986359,2822218,0.178524,790429
1504,15808577,12986359,2822218,0.178524,790429
42,22,0,22,1.39165e-06,790429
1504,15808577,12986359,2822218,0.178524,790429

Estadísticas RANK:
Error máximo absoluto: 4.61404e+06
Error promedio absoluto: 2.29682e+06
Error máximo normalizado: 0.291869
Error promedio normalizado: 0.14529
Error esperado (εn): 790429
Epsilon: 0.05

=== Evaluación de QUANTILE ===
Phi,Rank_Teorico,Quantile_Real,Quantile_Estimado,Rank_Estimado,Error_Rank_Abs,Error_Rank_Norm,Error_Esperado
0,0,42,46,1571936,1571936,0.0994356,790429
0.05,790428,46,46,1571936,781508,0.0494357,790429
0.1,1580857,48,52,2017907,437050,0.0276464,790429
0.15,2371286,56,56,4989891,2618605,0.165645,790429
0.2,3161715,56,56,4989891,1828176,0.115645,790429
0.25,3952144,56,56,4989891,1037747,0.0656446,790429
0.3,4742573,56,58,5011927,269354,0.0170385,790429
0.35,5533001,76,97,5817041,284040,0.0179675,790429
0.4,6323430,164,274,6648127,324697,0.0205393,790429
0.45,7113859,363,475,7402538,288679,0.0182609,790429
0.5,7904288,1004,1226,8152324,248036,0.01569,790429
0.55,8694717,1454,1454,13000076,4305359,0.272343,790429
0.6,9485146,1454,1454,13000076,3514930,0.222343,790429
0.65,10275575,1454,1454,13000076,2724501,0.172343,790429
0.7,11066003,1454,1454,13000076,1934073,0.122343,790429
0.75,11856432,1454,1454,13000076,1143644,0.0723433,790429
0.8,12646861,1454,1454,13000076,353215,0.0223433,790429
0.85,13437290,1504,1504,15808577,2371287,0.15,790429
0.9,14227719,1504,1504,15808577,1580858,0.1,790429
0.95,15018148,1504,1504,15808577,790429,0.05,790429

Estadísticas QUANTILE:
Error máximo absoluto (en rank): 4.30536e+06
Error promedio absoluto (en rank): 1.42041e+06
Error máximo normalizado: 0.272343
Error promedio normalizado: 0.0898504
Error esperado (εn): 790429
Epsilon: 0.05
