Dataset: chicago2015.txt
n: 15808577
epsilon: 0.1

=== Evaluación de RANK ===
Valor,Rank_Real,Rank_Estimado,Error_Absoluto,Error_Normalizado,Error_Esperado
42,22,0,22,1.39165e-06,1.58086e+06
48,1590936,1058069,532867,0.0337075,1.58086e+06
56,4989891,1509751,3480140,0.220143,1.58086e+06
56,4989891,1509751,3480140,0.220143,1.58086e+06
164,6326074,5731534,594540,0.0376087,1.58086e+06
1004,7905796,7238170,667626,0.0422319,1.58086e+06
1454,13000076,7989943,5010133,0.316925,1.58086e+06
1454,13000076,7989943,5010133,0.316925,1.58086e+06
1454,13000076,7989943,5010133,0.316925,1.58086e+06
1504,15808577,12659343,3149234,0.19921,1.58086e+06
1504,15808577,12659343,3149234,0.19921,1.58086e+06
42,22,0,22,1.39165e-06,1.58086e+06
1504,15808577,12659343,3149234,0.19921,1.58086e+06

Estadísticas RANK:
Error máximo absoluto: 5.01013e+06
Error promedio absoluto: 2.55642e+06
Error máximo normalizado: 0.316925
Error promedio normalizado: 0.161711
Error esperado (εn): 1.58086e+06
Epsilon: 0.1

=== Evaluación de QUANTILE ===
Phi,Rank_Teorico,Quantile_Real,Quantile_Estimado,Rank_Estimado,Error_Rank_Abs,Error_Rank_Norm,Error_Esperado
0,0,42,46,1571936,1571936,0.0994356,1.58086e+06
0.05,790428,46,46,1571936,781508,0.0494357,1.58086e+06
0.1,1580857,48,56,4989891,3409034,0.215645,1.58086e+06
0.15,2371286,56,56,4989891,2618605,0.165645,1.58086e+06
0.2,3161715,56,56,4989891,1828176,0.115645,1.58086e+06
0.25,3952144,56,56,4989891,1037747,0.0656446,1.58086e+06
0.3,4742573,56,68,5464142,721569,0.0456441,1.58086e+06
0.35,5533001,76,133,6198242,665241,0.042081,1.58086e+06
0.4,6323430,164,326,6898761,575331,0.0363936,1.58086e+06
0.45,7113859,363,796,7764565,650706,0.0411616,1.58086e+06
0.5,7904288,1004,1424,8573240,668952,0.0423158,1.58086e+06
0.55,8694717,1454,1454,13000076,4305359,0.272343,1.58086e+06
0.6,9485146,1454,1454,13000076,3514930,0.222343,1.58086e+06
0.65,10275575,1454,1454,13000076,2724501,0.172343,1.58086e+06
0.7,11066003,1454,1454,13000076,1934073,0.122343,1.58086e+06
0.75,11856432,1454,1454,13000076,1143644,0.0723433,1.58086e+06
0.8,12646861,1454,1477,13249877,603016,0.0381449,1.58086e+06
0.85,13437290,1504,1504,15808577,2371287,0.15,1.58086e+06
0.9,14227719,1504,1504,15808577,1580858,0.1,1.58086e+06
0.95,15018148,1504,1504,15808577,790429,0.05,1.58086e+06

Estadísticas QUANTILE:
Error máximo absoluto (en rank): 4.30536e+06
Error promedio absoluto (en rank): 1.67485e+06
Error máximo normalizado: 0.272343
Error promedio normalizado: 0.105945
Error esperado (εn): 1.58086e+06
Epsilon: 0.1
