Dataset: chicago2016.txt
n: 31166491
epsilon: 0.05

=== Evaluación de RANK ===
Valor,Rank_Real,Rank_Estimado,Error_Absoluto,Error_Normalizado,Error_Esperado
46,1232396,0,1232396,0.0395423,1.55832e+06
56,4082041,1188378,2893663,0.0928453,1.55832e+06
110,6234171,5642447,591724,0.0189859,1.55832e+06
241,9352143,8643672,708471,0.0227318,1.55832e+06
1404,12660229,11593639,1066590,0.0342223,1.55832e+06
1458,20310667,14693649,5617018,0.180226,1.55832e+06
1458,20310667,14693649,5617018,0.180226,1.55832e+06
1484,21829219,21094391,734828,0.0235775,1.55832e+06
1504,31166491,21836130,9330361,0.299372,1.55832e+06
1504,31166491,21836130,9330361,0.299372,1.55832e+06
1504,31166491,21836130,9330361,0.299372,1.55832e+06
46,1232396,0,1232396,0.0395423,1.55832e+06
1504,31166491,21836130,9330361,0.299372,1.55832e+06

Estadísticas RANK:
Error máximo absoluto: 9.33036e+06
Error promedio absoluto: 4.38581e+06
Error máximo normalizado: 0.299372
Error promedio normalizado: 0.140722
Error esperado (εn): 1.55832e+06
Epsilon: 0.05

=== Evaluación de QUANTILE ===
Phi,Rank_Teorico,Quantile_Real,Quantile_Estimado,Rank_Estimado,Error_Rank_Abs,Error_Rank_Norm,Error_Esperado
0,0,46,46,1232396,1232396,0.0395423,1.55832e+06
0.05,1558324,52,56,4082041,2523717,0.0809753,1.55832e+06
0.1,3116649,56,56,4082041,965392,0.0309753,1.55832e+06
0.15,4674973,64,71,5272607,597634,0.0191755,1.55832e+06
0.2,6233298,110,136,6798788,565490,0.0181442,1.55832e+06
0.25,7791622,204,204,9164457,1372835,0.0440484,1.55832e+06
0.3,9349947,241,432,9967632,617685,0.0198189,1.55832e+06
0.35,10908271,1000,1252,11544783,636512,0.020423,1.55832e+06
0.4,12466596,1404,1424,13604443,1137847,0.0365087,1.55832e+06
0.45,14024920,1442,1454,14941519,916599,0.0294098,1.55832e+06
0.5,15583245,1458,1458,20310667,4727422,0.151683,1.55832e+06
0.55,17141570,1458,1458,20310667,3169097,0.101683,1.55832e+06
0.6,18699894,1458,1458,20310667,1610773,0.0516828,1.55832e+06
0.65,20258219,1458,1470,20877984,619765,0.0198856,1.55832e+06
0.7,21816543,1484,1501,22375917,559374,0.0179479,1.55832e+06
0.75,23374868,1504,1504,31166491,7791623,0.25,1.55832e+06
0.8,24933192,1504,1504,31166491,6233299,0.2,1.55832e+06
0.85,26491517,1504,1504,31166491,4674974,0.15,1.55832e+06
0.9,28049841,1504,1504,31166491,3116650,0.1,1.55832e+06
0.95,29608166,1504,1504,31166491,1558325,0.05,1.55832e+06

Estadísticas QUANTILE:
Error máximo absoluto (en rank): 7.79162e+06
Error promedio absoluto (en rank): 2.23137e+06
Error máximo normalizado: 0.25
Error promedio normalizado: 0.0715952
Error esperado (εn): 1.55832e+06
Epsilon: 0.05
